唯一标识，品牌，车型名称，价格区间 (万元),车型类别，能源类型，续航，座位数，轴距 (mm),智驾等级，安全等级，匹配标签，车辆性格描述
C001，吉利，星愿，6.88-9.88，轿车，纯电车，310-410km,5,2650,L2,C-NCAP 五星，低用车成本 | 外观颜值 | 科技感，适合追求性价比与智能体验的城市年轻用户
C002，五菱，宏光 MINIEV,3.58-5.58，轿车，纯电车，205-301km,4,1965，基础辅助，C-NCAP 四星，低用车成本 | 可靠耐用，适合城市短途代步和新手用户的经济实用选择
C003，比亚迪，海鸥，6.98-8.58，轿车，纯电车，305-405km,5,2500,L2,C-NCAP 五星，低用车成本 | 安全性 | 科技感，适合城市通勤和家庭代步的精品纯电小车
C004，比亚迪，秦 PLUS DM,7.98-10.38，轿车，混动/增程，120-210km,5,2718,L2,C-NCAP 五星，低用车成本 | 可靠耐用 | 动力性能，适合追求低油耗和长续航的家庭用户
C005，日产，轩逸，7.99-17.49，轿车，燃油车，N/A,5,2712,L1,C-NCAP 五星，空间舒适 | 可靠耐用 | 低用车成本，适合追求舒适性和可靠性的家庭用户
C006，比亚迪，秦 L DM,9.98-13.98，轿车，混动/增程，120-200km,5,2790,L2,C-NCAP 五星，低用车成本 | 科技感 | 空间舒适，适合追求新技术和长续航的家庭用户
C007，大众，朗逸，8.00-15.19，轿车，燃油车，N/A,5,2688,L1,C-NCAP 五星，可靠耐用 | 空间舒适，适合追求德系品质和稳定性的家庭用户
C008，小米，SU7,21.59-29.99，轿车，纯电车，700-830km,5,3000,L2+,C-NCAP 五星，科技感 | 操控好 | 外观颜值 | 动力性能，适合追求极致驾驶感与科技体验的年轻人
C009，大众，速腾，13.99-17.29，轿车，燃油车，N/A,5,2731,L1,C-NCAP 五星，空间舒适 | 可靠耐用，适合追求德系品质和 A+ 级空间的务实用户
C010，比亚迪，海豹 06 DM,9.98-13.98，轿车，混动/增程，120-200km,5,2790,L2,C-NCAP 五星，低用车成本 | 科技感 | 外观颜值，适合追求海洋美学和 DM-i 技术的年轻用户
C011，特斯拉，Model 3,23.19-27.59，轿车，纯电车，554-675km,5,2875,L2+,C-NCAP 五星，科技感 | 操控好 | 动力性能 | 高保值，适合追求品牌与驾驶乐趣的科技爱好者
C012，比亚迪，海豚，9.98-12.58，轿车，纯电车，420-520km,5,2700,L2,C-NCAP 五星，低用车成本 | 外观颜值 | 空间舒适，适合城市通勤和年轻家庭的精品纯电小车
C013，丰田，凯美瑞，17.18-25.98，轿车，混动/增程，N/A,5,2825,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 空间舒适 | 高保值，适合追求省心耐用和舒适性的家庭用户
C014，大众，帕萨特，16.49-23.99，轿车，燃油车，N/A,5,2871,L2,C-NCAP 五星，空间舒适 | 可靠耐用 | 安全性，适合商务家用兼顾的成熟用户
C015，大众，迈腾，17.49-24.69，轿车，燃油车，N/A,5,2871,L2,C-NCAP 五星，空间舒适 | 可靠耐用 | 安全性，适合商务家用兼顾的德系品质追求者
C016，宝马，3 系，29.99-39.99，轿车，燃油车，N/A,5,2961,L2,C-NCAP 五星，操控好 | 动力性能 | 外观颜值，适合追求驾驶乐趣和品牌价值的年轻人
C017，奔驰，C 级，33.48-37.98，轿车，燃油车，N/A,5,2954,L2,C-NCAP 五星，外观颜值 | 空间舒适 | 安全性，适合追求豪华感和品牌调性的都市精英
C018，奥迪，A4L,32.18-40.08，轿车，燃油车，N/A,5,2908,L2,C-NCAP 五星，科技感 | 操控好 | 安全性，适合追求科技与平衡的理性用户
C019，本田，雅阁，17.98-22.88，轿车，混动/增程，N/A,5,2830,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 空间舒适，适合追求省心和实用性的家庭用户
C020，比亚迪，汉，16.98-24.98，轿车，混动/增程，120-200km,5,2920,L2+,C-NCAP 五星，科技感 | 安全性 | 动力性能 | 外观颜值，适合追求豪华感和科技的商务人士
S001，特斯拉，Model Y,26.35-31.35,SUV，纯电车，554-688km,5,2890,L2+,C-NCAP 五星，科技感 | 动力性能 | 高保值 | 操控好，适合追求品牌和科技体验的中产家庭
S002，吉利，星越 L,14.77-17.97,SUV，燃油车，N/A,5,2845,L2,C-NCAP 五星，空间舒适 | 科技感 | 动力性能，适合追求越级体验的务实家庭
S003，比亚迪，宋 PLUS 新能源，12.98-16.98,SUV，混动/增程，100-150km,5,2765,L2,C-NCAP 五星，低用车成本 | 空间舒适 | 可靠耐用，适合家庭用户的均衡之选
S004，丰田，RAV4 荣放，16.98-26.38,SUV，燃油车，N/A,5,2690,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 高保值，适合追求省心耐用的家庭用户
S005，比亚迪，元 UP,7.48-11.98,SUV，纯电车，301-401km,5,2620,L2,C-NCAP 五星，低用车成本 | 科技感 | 空间舒适，适合城市通勤和年轻家庭的纯电 SUV
