唯一标识，品牌，车型名称，价格区间 (万元),车型类别，能源类型，续航，座位数，轴距 (mm),智驾等级，安全等级，匹配标签，车辆性格描述，车辆照片
C001，吉利，星愿，6.88-9.88，轿车，纯电车，310-410km,5,2650,L2,C-NCAP 五星，低用车成本 | 外观颜值 | 科技感，适合追求性价比与智能体验的城市年轻用户，https://www.autohome.com.cn/13109/
C002，五菱，宏光 MINIEV,3.58-5.58，轿车，纯电车，205-301km,4,1965，基础辅助，C-NCAP 四星，低用车成本 | 可靠耐用，适合城市短途代步和新手用户的经济实用选择，https://www.autohome.com.cn/7877/
C003，比亚迪，海鸥，6.98-8.58，轿车，纯电车，305-405km,5,2500,L2,C-NCAP 五星，低用车成本 | 安全性 | 科技感，适合城市通勤和家庭代步的精品纯电小车，https://www.autohome.com.cn/12621/
C004，比亚迪，秦 PLUS DM,7.98-10.38，轿车，混动/增程，120-210km,5,2718,L2,C-NCAP 五星，低用车成本 | 可靠耐用 | 动力性能，适合追求低油耗和长续航的家庭用户，https://www.autohome.com.cn/8883/
C005，日产，轩逸，7.99-17.49，轿车，燃油车，N/A,5,2712,L1,C-NCAP 五星，空间舒适 | 可靠耐用 | 低用车成本，适合追求舒适性和可靠性的家庭用户，https://www.autohome.com.cn/634/
C006，比亚迪，秦 L DM,9.98-13.98，轿车，混动/增程，120-200km,5,2790,L2,C-NCAP 五星，低用车成本 | 科技感 | 空间舒适，适合追求新技术和长续航的家庭用户，https://www.autohome.com.cn/13067/
C007，大众，朗逸，8.00-15.19，轿车，燃油车，N/A,5,2688,L1,C-NCAP 五星，可靠耐用 | 空间舒适，适合追求德系品质和稳定性的家庭用户，https://www.autohome.com.cn/6770/
C008，小米，SU7,21.59-29.99，轿车，纯电车，700-830km,5,3000,L2+,C-NCAP 五星，科技感 | 操控好 | 外观颜值 | 动力性能，适合追求极致驾驶感与科技体验的年轻人，https://www.autohome.com.cn/13034/
C009，大众，速腾，13.99-17.29，轿车，燃油车，N/A,5,2731,L1,C-NCAP 五星，空间舒适 | 可靠耐用，适合追求德系品质和 A+ 级空间的务实用户，https://www.autohome.com.cn/6624/
C010，比亚迪，海豹 06 DM,9.98-13.98，轿车，混动/增程，120-200km,5,2790,L2,C-NCAP 五星，低用车成本 | 科技感 | 外观颜值，适合追求海洋美学和 DM-i 技术的年轻用户，https://www.autohome.com.cn/13137/
C011，特斯拉，Model 3,23.19-27.59，轿车，纯电车，554-675km,5,2875,L2+,C-NCAP 五星，科技感 | 操控好 | 动力性能 | 高保值，适合追求品牌与驾驶乐趣的科技爱好者，https://www.autohome.com.cn/3453/
C012，比亚迪，海豚，9.98-12.58，轿车，纯电车，420-520km,5,2700,L2,C-NCAP 五星，低用车成本 | 外观颜值 | 空间舒适，适合城市通勤和年轻家庭的精品纯电小车，https://www.autohome.com.cn/8959/
C013，丰田，凯美瑞，17.18-25.98，轿车，混动/增程，N/A,5,2825,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 空间舒适 | 高保值，适合追求省心耐用和舒适性的家庭用户，https://www.autohome.com.cn/110/
C014，大众，帕萨特，16.49-23.99，轿车，燃油车，N/A,5,2871,L2,C-NCAP 五星，空间舒适 | 可靠耐用 | 安全性，适合商务家用兼顾的成熟用户，https://www.autohome.com.cn/6771/
C015，大众，迈腾，17.49-24.69，轿车，燃油车，N/A,5,2871,L2,C-NCAP 五星，空间舒适 | 可靠耐用 | 安全性，适合商务家用兼顾的德系品质追求者，https://www.autohome.com.cn/422/
C016，宝马，3 系，29.99-39.99，轿车，燃油车，N/A,5,2961,L2,C-NCAP 五星，操控好 | 动力性能 | 外观颜值，适合追求驾驶乐趣和品牌价值的年轻人，https://www.autohome.com.cn/66/
C017，奔驰，C 级，33.48-37.98，轿车，燃油车，N/A,5,2954,L2,C-NCAP 五星，外观颜值 | 空间舒适 | 安全性，适合追求豪华感和品牌调性的都市精英，https://www.autohome.com.cn/3448/
C018，奥迪，A4L,32.18-40.08，轿车，燃油车，N/A,5,2908,L2,C-NCAP 五星，科技感 | 操控好 | 安全性，适合追求科技与平衡的理性用户，https://www.autohome.com.cn/6926/
C019，本田，雅阁，17.98-22.88，轿车，混动/增程，N/A,5,2830,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 空间舒适，适合追求省心和实用性的家庭用户，https://www.autohome.com.cn/640/
C020，比亚迪，汉，16.98-24.98，轿车，混动/增程，120-200km,5,2920,L2+,C-NCAP 五星，科技感 | 安全性 | 动力性能 | 外观颜值，适合追求豪华感和科技的商务人士，https://www.autohome.com.cn/6964/
C021，比亚迪，宋 Pro DM-i,10.98-13.98，轿车，混动/增程，71-110km,5,2712,L2,C-NCAP 五星，低用车成本 | 空间舒适 | 科技感，适合追求性价比和实用性的家庭用户，https://www.autohome.com.cn/2033/
C022，比亚迪，驱逐舰 05,7.98-12.88，轿车，混动/增程，55-120km,5,2718,L2,C-NCAP 五星，低用车成本 | 科技感 | 外观颜值，适合年轻用户的首款混动轿车，https://www.autohome.com.cn/11697/
C023，比亚迪，海豹 DM-i,16.98-23.98，轿车，混动/增程，121-200km,5,2900,L2,C-NCAP 五星，科技感 | 外观颜值 | 动力性能，适合追求海洋美学和品质的年轻用户，https://www.autohome.com.cn/12600/
C024，比亚迪，秦 PLUS EV,11.98-13.98，轿车，纯电车，420-510km,5,2718,L2,C-NCAP 五星，低用车成本 | 科技感 | 可靠耐用，适合城市通勤和网约车用户的纯电选择，https://www.autohome.com.cn/8883/
C025，吉利，帝豪，6.29-9.19，轿车，燃油车，N/A,5,2650,L1,C-NCAP 五星，低用车成本 | 可靠耐用 | 空间舒适，适合预算有限的首购家庭用户，https://www.autohome.com.cn/827/
C026，吉利，星瑞，11.37-14.57，轿车，燃油车，N/A,5,2800,L2,C-NCAP 五星，动力性能 | 空间舒适 | 科技感，适合追求 A+ 级轿车越级体验的年轻用户，https://www.autohome.com.cn/8671/
C027，吉利，缤瑞 COOL,8.98-10.98，轿车，燃油车，N/A,5,2670,L2,C-NCAP 五星，外观颜值 | 动力性能 | 科技感，适合追求运动风格的年轻用户，https://www.autohome.com.cn/8670/
C028，长安，逸动 PLUS,7.29-10.39，轿车，燃油车，N/A,5,2700,L1,C-NCAP 五星，低用车成本 | 空间舒适 | 外观颜值，适合追求性价比的家庭用户，https://www.autohome.com.cn/7606/
C029，长安，UNI-V,10.89-13.99，轿车，燃油车，N/A,5,2750,L2,C-NCAP 五星，外观颜值 | 动力性能 | 科技感，适合追求运动轿跑风格的年轻用户，https://www.autohome.com.cn/11518/
C030，丰田，卡罗拉，11.68-15.58，轿车，燃油车，N/A,5,2700,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 高保值，适合追求省心耐用的首购家庭，https://www.autohome.com.cn/657/
C031，丰田，雷凌，11.38-14.88，轿车，混动/增程，N/A,5,2700,L2,C-NCAP 五星，可靠耐用 | 低用车成本 | 安全性，适合追求经济实用的家庭用户，https://www.autohome.com.cn/7742/
C032，本田，思域，12.99-18.79，轿车，燃油车，N/A,5,2735,L2,C-NCAP 五星，动力性能 | 操控好 | 外观颜值，适合追求驾驶乐趣的年轻用户，https://www.autohome.com.cn/665/
